Country Code ISO3,Indicator,Normalized Value,Dash Value,Trend Value,Value
AFG,sdg16_prison,,,,
AFG,sdg17_govex,,red,,4.545
AFG,sdg17_oda,,,,
AFG,sdg17_govrev,,red,,13.039
AFG,sdg17_cohaven,,green,,0
AFG,sdg17_secrecy,,,,
AFG,sdg17_sprofits,,,,
AFG,sdg17_statperf,,red,,49.756
AGO,sdg1_wpc,25.826,red,Down,53.85
AGO,sdg1_320pov,0,red,Down,75.7
AGO,sdg1_oecdpov,56.028,,,
AGO,sdg2_undernsh,25.1,red,Right,18.6
AGO,sdg2_stunting,69.939,red,Right,37.6
AGO,sdg2_wasting,83.282,green,Up,4.9
AGO,sdg2_obesity,78.837,green,Up,8.2
AGO,sdg2_trophic,8.132,green,Up,2.131
AGO,sdg2_crlyld,22.083,red,Down,0.753
AGO,sdg2_snmi,99.992,red,Down,0.935
AGO,sdg2_yieldgap,70.688,,Right,
AGO,sdg2_pestexp,31.347,green,Up Right,0.02
AGO,sdg3_matmort,43.451,red,Up Right,241
AGO,sdg3_neonat,37.433,red,Right,27.6
AGO,sdg3_u5mort,84.727,red,Up Right,74.7
AGO,sdg3_tb,66.82,red,Up,351
AGO,sdg3_hiv,67.733,orange,Down,0.84
AGO,sdg3_ncds,24.82,yellow,Right,16.5
AGO,sdg3_pollmort,31.241,orange,Right,119
AGO,sdg3_traffic,0,red,,26.13
AGO,sdg3_lifee,34.46,red,Right,63.06
AGO,sdg3_fertility,16.949,red,Right,147.958
AGO,sdg3_births,2.913,red,,49.6
AGO,sdg3_vac,11.628,red,,51
AGO,sdg3_uhc,60.171,red,,40
AGO,sdg3_swb,3.34,red,,3.8
AGO,sdg3_region,58.816,,,
AGO,sdg3_incomeg,14.909,,,
AGO,sdg3_smoke,35.567,,,
AGO,sdg4_primary,95.62,orange,,81.599
AGO,sdg4_second,59.016,red,,20.739
AGO,sdg4_literacy,26.405,red,,77.431
AGO,sdg4_earlyedu,44.493,,,
AGO,sdg4_tertiary,100,,Right,
AGO,sdg4_pisa,0,,Down,
AGO,sdg4_socioec,98.907,,Up,
AGO,sdg4_science,37.579,,Down,
AGO,sdg4_resil,46.99,,,
AGO,sdg5_familypl,72.729,red,Right,29.8
AGO,sdg5_edat,34.736,red,Right,62.5
AGO,sdg5_lfpr,67.495,green,Up,96.562
AGO,sdg5_parl,23.172,yellow,,30
AGO,sdg5_paygap,71.654,,,
AGO,sdg5_unpaid,19.273,,Right,
AGO,sdg6_water,98.583,red,Right,55.843
AGO,sdg6_sanita,12.412,red,Up,49.877
AGO,sdg6_freshwat,20.06,green,,1.9
AGO,sdg6_wastewat,11.682,red,,0
AGO,sdg6_scarcew,0,green,Right,1.093
AGO,sdg6_safewat,0.083,,,
AGO,sdg6_safesan,0.865,,Up,
AGO,sdg7_elecac,50.493,red,,43.259
AGO,sdg7_cleanfuel,0,red,,48.05
AGO,sdg7_co2twh,46,red,Right,1.609
AGO,sdg7_ren,67.755,,Right,
AGO,sdg8_adjgrowth,55.235,red,Down,-7.857
AGO,sdg8_slavery,17.857,orange,Right,7.151
AGO,sdg8_accounts,86.861,red,,29.318
AGO,sdg8_unemp,83.043,orange,,7.7
AGO,sdg8_rights,98.688,red,,0.406
AGO,sdg8_impacc,94.79,green,,0.085
AGO,sdg8_empop,91.832,,,
AGO,sdg8_yneet,98.107,,,
AGO,sdg9_intuse,94.025,red,,14.339
AGO,sdg9_mobuse,95.813,red,,21.179
AGO,sdg9_lpi,99.723,red,Up Right,1.857
AGO,sdg9_qs,66.58,orange,Right,0
AGO,sdg9_articles,37.451,red,Up Right,0.001
AGO,sdg9_rdex,86.637,red,,0.032
AGO,sdg9_rdres,58.869,,,
AGO,sdg9_patents,61.605,,Up,
AGO,sdg9_netacc,90.45,,Up,
AGO,sdg9_womensci,28.054,,,
AGO,sdg10_adjgini,33.333,red,Right,45.075
AGO,sdg10_palma,83,red,Down,3.443
AGO,sdg10_elder,85.8,,Up,
AGO,sdg11_slums,93.58,red,Down,48.6
AGO,sdg11_pm25,87.939,red,Right,32.322
AGO,sdg11_pipedwat,39.706,red,Right,57.966
AGO,sdg11_transport,22.807,red,Up,32
AGO,sdg11_rentover,22.842,,,
AGO,sdg12_msw,15.73,green,Up Right,0.573
AGO,sdg12_ewaste,18.519,green,,4.151
AGO,sdg12_so2prod,75.318,green,Up,6.89
AGO,sdg12_so2import,100,green,Up Right,1.563
AGO,sdg12_prodnitro,65.829,green,Up,10.005
AGO,sdg12_reacnitro,57.846,green,,0.852
AGO,sdg12_mswrecycl,29.933,,,
AGO,sdg13_co2gcp,,green,Down,1.195
AGO,sdg13_co2import,21.203,green,,0.134
AGO,sdg13_co2export,100,yellow,,121.699
AGO,sdg13_ecr,39.928,,Up,
AGO,sdg14_cpma,,orange,,66.58
AGO,sdg14_cleanwat,,red,,55.34
AGO,sdg14_fishstocks,,green,,12.12
AGO,sdg14_trawl,,orange,,37.607
AGO,sdg14_discard,,yellow,,7.679
AGO,sdg14_biomar,,green,,0.191
AGO,sdg15_cpta,,red,,28.054
AGO,sdg15_cpfa,,red,,33.333
AGO,sdg15_redlist,,green,,0.932
AGO,sdg15_forchg,,yellow,,0.213
AGO,sdg15_biofrwter,,green,,0.642
AGO,sdg16_homicides,,red,,4.847
AGO,sdg16_detain,,orange,,48
AGO,sdg16_safe,,red,,
AGO,sdg16_prs,,orange,,3.368
AGO,sdg16_u5reg,,red,,25
AGO,sdg16_cpi,,red,,27
AGO,sdg16_clabor,,orange,,9.7
AGO,sdg16_weaponsexp,,green,,0
AGO,sdg16_rsf,,yellow,,33.92
AGO,sdg16_justice,,red,,0.476
AGO,sdg16_prison,,,,
AGO,sdg17_govex,,red,,4.49
AGO,sdg17_oda,,,,
AGO,sdg17_govrev,,orange,,16.361
AGO,sdg17_cohaven,,green,,0
AGO,sdg17_secrecy,,,,
AGO,sdg17_sprofits,,,,
AGO,sdg17_statperf,,orange,,54.946
ALB,sdg1_wpc,99.78,green,Up,0.16
ALB,sdg1_320pov,83.495,orange,Up Right,8.5
ALB,sdg1_oecdpov,91.489,,,
ALB,sdg2_undernsh,77.49,green,Up,3.6
ALB,sdg2_stunting,90.184,orange,Right,11.3
ALB,sdg2_wasting,41.486,green,Up,1.6
ALB,sdg2_obesity,20.233,orange,Down,21.7
ALB,sdg2_trophic,68.235,orange,Down,2.383
ALB,sdg2_crlyld,30.917,green,Up,4.84
ALB,sdg2_snmi,,red,Right,0.829
ALB,sdg2_yieldgap,98.569,,Up,
ALB,sdg2_pestexp,83.42,,Up,
ALB,sdg3_matmort,94.431,green,Up,15
ALB,sdg3_neonat,97.148,green,Up Right,7.5
ALB,sdg3_u5mort,99.455,green,Up,9.7
ALB,sdg3_tb,64.516,yellow,Up,16
ALB,sdg3_hiv,81.562,green,Up,0.03
ALB,sdg3_ncds,72.131,yellow,Right,17
ALB,sdg3_pollmort,82.759,yellow,Up,68
ALB,sdg3_traffic,87.548,yellow,,11.7
ALB,sdg3_lifee,99.74,yellow,Up,78
ALB,sdg3_fertility,91.525,green,Right,19.572
ALB,sdg3_births,33.657,green,Up,99.8
ALB,sdg3_vac,48.837,green,,95
ALB,sdg3_uhc,95.439,red,,59
ALB,sdg3_swb,91.249,orange,Up,5.4
ALB,sdg3_region,98.777,,Up,
ALB,sdg3_incomeg,0,,,
ALB,sdg3_smoke,85.411,,,
ALB,sdg4_primary,70.878,green,,97.893
ALB,sdg4_second,58.008,green,,92.824
ALB,sdg4_literacy,85.065,green,,99.33
ALB,sdg4_earlyedu,97.473,,,
ALB,sdg4_tertiary,100,,Down,
ALB,sdg4_pisa,2.672,,Down,
ALB,sdg4_socioec,94.328,,Up,
ALB,sdg4_science,100,,Up,
ALB,sdg4_resil,76.959,,,
ALB,sdg5_familypl,91.39,red,Right,6.3
ALB,sdg5_edat,75.787,yellow,Up,91.509
ALB,sdg5_lfpr,68.768,green,Up,77.139
ALB,sdg5_parl,34.799,orange,,29.508
ALB,sdg5_paygap,55.906,,,
ALB,sdg5_unpaid,34.545,,Up,
ALB,sdg6_water,96.767,yellow,Up,91.039
ALB,sdg6_sanita,68.96,green,Up,97.718
ALB,sdg6_freshwat,61.566,green,,7.1
ALB,sdg6_wastewat,31.545,red,Right,2.672
ALB,sdg6_scarcew,0,green,Up,5.672
ALB,sdg6_safewat,5.25,,Down,
ALB,sdg6_safesan,4.162,,Up,
ALB,sdg7_elecac,60.051,green,,100
ALB,sdg7_cleanfuel,76.75,yellow,,77.42
ALB,sdg7_co2twh,,green,Up,0.508
ALB,sdg7_ren,86.071,,Up,
ALB,sdg8_adjgrowth,91.86,green,,0.23
ALB,sdg8_slavery,40.584,yellow,Right,6.871
ALB,sdg8_accounts,53.639,red,,40.015
ALB,sdg8_unemp,68.901,red,,11.7
ALB,sdg8_rights,90.601,red,,0.49
ALB,sdg8_impacc,84.35,green,,0.194
ALB,sdg8_empop,84.733,,,
ALB,sdg8_yneet,95.48,,,
ALB,sdg9_intuse,90.315,yellow,,69.643
ALB,sdg9_mobuse,86.063,yellow,,62.104
ALB,sdg9_lpi,100,orange,,2.294
ALB,sdg9_qs,70.698,orange,Up Right,0
ALB,sdg9_articles,39.538,orange,Right,0.063
ALB,sdg9_rdex,,red,Down,0.154
ALB,sdg9_rdres,11.506,,,
ALB,sdg9_patents,0,,Up,
ALB,sdg9_netacc,97.65,,Up,
ALB,sdg9_womensci,57.176,,,
ALB,sdg10_adjgini,92.675,red,Right,41.682
ALB,sdg10_palma,58.75,orange,Right,1.272
ALB,sdg10_elder,99.933,,,
ALB,sdg11_slums,94.4,,Right,
ALB,sdg11_pm25,94.724,orange,Right,17.541
ALB,sdg11_pipedwat,45.099,yellow,Up,92.357
ALB,sdg11_transport,61.404,orange,Down,46
ALB,sdg11_rentover,20.658,,Right,
ALB,sdg12_msw,98.202,orange,Up Right,1.769
ALB,sdg12_ewaste,30.423,yellow,Up,7.446
ALB,sdg12_so2prod,92.875,yellow,Down,49.344
ALB,sdg12_so2import,100,green,Right,4.695
ALB,sdg12_prodnitro,71.071,green,Down,16.962
ALB,sdg12_reacnitro,66.462,green,Down,2.034
ALB,sdg12_mswrecycl,43.02,,,
ALB,sdg13_co2gcp,,green,Right,1.937
ALB,sdg13_co2import,51.143,green,,0.446
ALB,sdg13_co2export,100,green,Right,0.002
ALB,sdg13_ecr,67.177,,Up,
ALB,sdg14_cpma,,orange,,70.698
ALB,sdg14_cleanwat,,red,,56.83
ALB,sdg14_fishstocks,,,,
ALB,sdg14_trawl,,red,,79.76
ALB,sdg14_discard,,red,,23.672
ALB,sdg14_biomar,,green,,0.047
ALB,sdg15_cpta,,red,,57.176
ALB,sdg15_cpfa,,green,,92.675
ALB,sdg15_redlist,,orange,,0.835
ALB,sdg15_forchg,,green,,0.001
ALB,sdg15_biofrwter,,green,,0.56
ALB,sdg16_homicides,,yellow,,2.289
ALB,sdg16_detain,,orange,,44.333
ALB,sdg16_safe,,yellow,,
ALB,sdg16_prs,,orange,,3.285
ALB,sdg16_u5reg,,green,,98.4
ALB,sdg16_cpi,,red,,36
ALB,sdg16_clabor,,yellow,,2.8
ALB,sdg16_weaponsexp,,green,,0
ALB,sdg16_rsf,,yellow,,30.25
ALB,sdg16_justice,,orange,,0.532
ALB,sdg16_prison,,,,
ALB,sdg17_govex,,orange,,6.453
ALB,sdg17_oda,,,,
ALB,sdg17_govrev,,yellow,,25.343
ALB,sdg17_cohaven,,green,,0
ALB,sdg17_secrecy,,,,
ALB,sdg17_sprofits,,,,
ALB,sdg17_statperf,,yellow,,75.383
AND,sdg1_wpc,,,,
AND,sdg1_320pov,,,,
AND,sdg1_oecdpov,,,,
AND,sdg2_undernsh,,green,,1.17
AND,sdg2_stunting,,green,Up,2.58
AND,sdg2_wasting,,green,Up,0.7
AND,sdg2_obesity,,red,Down,25.6
AND,sdg2_trophic,,,,
AND,sdg2_crlyld,,,,
AND,sdg2_snmi,,,,
AND,sdg2_yieldgap,,,,
AND,sdg2_pestexp,,,Up,
AND,sdg3_matmort,,,Up,
AND,sdg3_neonat,,green,Up,1.4
AND,sdg3_u5mort,,green,,3
AND,sdg3_tb,,green,,7.5
AND,sdg3_hiv,,,,
AND,sdg3_ncds,,,,
AND,sdg3_pollmort,,,,
AND,sdg3_traffic,,,,
AND,sdg3_lifee,,,Up,
AND,sdg3_fertility,,,,
AND,sdg3_births,,,,
AND,sdg3_vac,,green,,99
AND,sdg3_uhc,,,,
AND,sdg3_swb,,,,
AND,sdg3_region,,,,
AND,sdg3_incomeg,,,,
AND,sdg3_smoke,,,,
AND,sdg4_primary,,,,
AND,sdg4_second,,,,
AND,sdg4_literacy,,,,
AND,sdg4_earlyedu,,,,
AND,sdg4_tertiary,,,,
AND,sdg4_pisa,,,Up,
AND,sdg4_socioec,,,,
AND,sdg4_science,,,Up,
AND,sdg4_resil,,,,
AND,sdg5_familypl,,,Up,
AND,sdg5_edat,,green,Up,98.113
AND,sdg5_lfpr,,,Right,
AND,sdg5_parl,,green,,46.429
AND,sdg5_paygap,,,,
AND,sdg5_unpaid,,,Up,
AND,sdg6_water,,green,Up,100
AND,sdg6_sanita,,green,,100
AND,sdg6_freshwat,,,,
AND,sdg6_wastewat,,green,,100
AND,sdg6_scarcew,,yellow,,33.848
AND,sdg6_safewat,,,,
AND,sdg6_safesan,,,Up,
AND,sdg7_elecac,,green,,100
AND,sdg7_cleanfuel,,green,,100
AND,sdg7_co2twh,,,Up,
AND,sdg7_ren,,,Up,
AND,sdg8_adjgrowth,,,,
AND,sdg8_slavery,,,Down,
AND,sdg8_accounts,,,,
AND,sdg8_unemp,,,,
AND,sdg8_rights,,,,
AND,sdg8_impacc,,yellow,,1.238
AND,sdg8_empop,,,,
AND,sdg8_yneet,,,,
AND,sdg9_intuse,,green,,91.568
AND,sdg9_mobuse,,yellow,,60.442
AND,sdg9_lpi,,,,
AND,sdg9_qs,,orange,Up,0
AND,sdg9_articles,,red,Up,0.047
AND,sdg9_rdex,,,,
AND,sdg9_rdres,,,,
AND,sdg9_patents,,,Right,
AND,sdg9_netacc,,,Right,
AND,sdg9_womensci,,,,
AND,sdg10_adjgini,,,,
AND,sdg10_palma,,,,
AND,sdg10_elder,,,,
AND,sdg11_slums,,,,
AND,sdg11_pm25,,yellow,Right,11.189
AND,sdg11_pipedwat,,green,,100
AND,sdg11_transport,,,Up,
AND,sdg11_rentover,,,,
AND,sdg12_msw,,orange,Up,1.738
AND,sdg12_ewaste,,,,
AND,sdg12_so2prod,,yellow,,40.12
AND,sdg12_so2import,,red,,21.313
AND,sdg12_prodnitro,,yellow,Up,22.494
AND,sdg12_reacnitro,,orange,,14.071
AND,sdg12_mswrecycl,,,,
AND,sdg13_co2gcp,,red,Right,6.099
AND,sdg13_co2import,,red,,2.736
AND,sdg13_co2export,,green,,0.709
AND,sdg13_ecr,,,,
AND,sdg14_cpma,,,,
AND,sdg14_cleanwat,,,,
AND,sdg14_fishstocks,,,,
AND,sdg14_trawl,,,,
AND,sdg14_discard,,,,
AND,sdg14_biomar,,green,,0
AND,sdg15_cpta,,red,,26.085
AND,sdg15_cpfa,,,,
AND,sdg15_redlist,,green,,0.916
AND,sdg15_forchg,,,,
AND,sdg15_biofrwter,,green,,0.556
AND,sdg16_homicides,,green,,0
AND,sdg16_detain,,red,,50.567
AND,sdg16_safe,,,,
AND,sdg16_prs,,,,
AND,sdg16_u5reg,,green,,100
AND,sdg16_cpi,,,,
AND,sdg16_clabor,,,,
AND,sdg16_weaponsexp,,green,,0
AND,sdg16_rsf,,green,,23.23
AND,sdg16_justice,,,,
AND,sdg16_prison,,,,
AND,sdg17_govex,,yellow,,7.71
AND,sdg17_oda,,,,
AND,sdg17_govrev,,,,
AND,sdg17_cohaven,,orange,,69.049
AND,sdg17_secrecy,,,,
AND,sdg17_sprofits,,,,
AND,sdg17_statperf,,,,
ARE,sdg1_wpc,99.683,green,Up,0.23
ARE,sdg1_320pov,99.456,green,Up,0.28
ARE,sdg1_oecdpov,92.671,,,
ARE,sdg2_undernsh,94.861,green,Up,3.1
ARE,sdg2_stunting,95.706,green,Up,2.58
ARE,sdg2_wasting,10.526,green,Up,0.7
ARE,sdg2_obesity,48.837,red,Down,31.7
ARE,sdg2_trophic,100,yellow,Up,2.26
ARE,sdg2_crlyld,0,green,Up,27.582
ARE,sdg2_snmi,95.543,red,Right,1.202
ARE,sdg2_yieldgap,100,,Up,
ARE,sdg2_pestexp,92.487,yellow,Up,11.142
ARE,sdg3_matmort,96.157,green,Up,3
ARE,sdg3_neonat,99.822,green,Up,4
ARE,sdg3_u5mort,,green,,7.5
ARE,sdg3_tb,65.438,green,Up,1
ARE,sdg3_hiv,85.087,,Up,
ARE,sdg3_ncds,81.279,yellow,Up Right,16.8
ARE,sdg3_pollmort,76.138,yellow,Up,55
ARE,sdg3_traffic,97.53,yellow,,8.91
ARE,sdg3_lifee,99.87,yellow,Up,76.08
ARE,sdg3_fertility,98.305,green,Up,5.887
ARE,sdg3_births,61.165,green,Up,99.9
ARE,sdg3_vac,69.767,green,,99
ARE,sdg3_uhc,99.528,yellow,,76
ARE,sdg3_swb,77.69,green,Up,6.3
ARE,sdg3_region,98.96,,,
ARE,sdg3_incomeg,50.909,,,
ARE,sdg3_smoke,90.301,,,
ARE,sdg4_primary,43.587,green,,99.782
ARE,sdg4_second,100,orange,,81.706
ARE,sdg4_literacy,96.743,green,,99.43
ARE,sdg4_earlyedu,98.434,,,
ARE,sdg4_tertiary,0,,Right,
ARE,sdg4_pisa,76.812,,Down,
ARE,sdg4_socioec,8.569,,Up Right,
ARE,sdg4_science,100,,Up,
ARE,sdg4_resil,98.48,,,
ARE,sdg5_familypl,74.492,red,Up,59.5
ARE,sdg5_edat,70.467,yellow,Up,94.355
ARE,sdg5_lfpr,,orange,Right,55.716
ARE,sdg5_parl,87.185,green,,50
ARE,sdg5_paygap,82.283,,,
ARE,sdg5_unpaid,27.818,,Up,
ARE,sdg6_water,32.9,green,Up,98.046
ARE,sdg6_sanita,99.131,green,Right,98.586
ARE,sdg6_freshwat,100,red,,1708
ARE,sdg6_wastewat,100,green,Up,76.812
ARE,sdg6_scarcew,83.034,red,Up,91.431
ARE,sdg6_safewat,27.25,,Down,
ARE,sdg6_safesan,35.216,,Up Right,
ARE,sdg7_elecac,100,green,,100
ARE,sdg7_cleanfuel,82.75,green,,98.51
ARE,sdg7_co2twh,,red,Up,1.505
ARE,sdg7_ren,56.172,,Up,
ARE,sdg8_adjgrowth,,yellow,Up,-0.818
ARE,sdg8_slavery,95.779,,Up Right,
ARE,sdg8_accounts,52.861,green,Up,88.21
ARE,sdg8_unemp,36.283,green,,5
ARE,sdg8_rights,91.736,red,,0.453
ARE,sdg8_impacc,15.997,red,,4.026
ARE,sdg8_empop,59.835,,,
ARE,sdg8_yneet,50.053,,,
ARE,sdg9_intuse,2.42,green,,99.15
ARE,sdg9_mobuse,0,green,,239.891
ARE,sdg9_lpi,85.03,green,,4.021
ARE,sdg9_qs,,green,Right,41.517
ARE,sdg9_articles,55.644,orange,,0.327
ARE,sdg9_rdex,80.442,yellow,Up,1.303
ARE,sdg9_rdres,100,,,
ARE,sdg9_patents,97.165,,Up Right,
ARE,sdg9_netacc,49.75,,Right,
ARE,sdg9_womensci,,,,
ARE,sdg10_adjgini,,green,,26
ARE,sdg10_palma,63.5,orange,Right,1.176
ARE,sdg10_elder,,,Up,
ARE,sdg11_slums,53.75,,Up,
ARE,sdg11_pm25,99.565,red,,41.669
ARE,sdg11_pipedwat,57.647,,,
ARE,sdg11_transport,100,green,Right,80
ARE,sdg11_rentover,82.158,,Up,
ARE,sdg12_msw,100,orange,,1.797
ARE,sdg12_ewaste,76.72,red,,15.046
ARE,sdg12_so2prod,,yellow,Up,43.386
ARE,sdg12_so2import,67.676,red,Up,25.201
ARE,sdg12_prodnitro,53.3,orange,Down,41.362
ARE,sdg12_reacnitro,75.846,red,Up,22.476
ARE,sdg12_mswrecycl,,,,
ARE,sdg13_co2gcp,50,red,,19.516
ARE,sdg13_co2import,,red,,4.282
ARE,sdg13_co2export,2.778,orange,,6586.959
ARE,sdg13_ecr,46.225,,Up,
ARE,sdg14_cpma,,,,
ARE,sdg14_cleanwat,,red,,68.33
ARE,sdg14_fishstocks,,green,,17.739
ARE,sdg14_trawl,,green,,0
ARE,sdg14_discard,,green,,0.567
ARE,sdg14_biomar,,red,,1.005
ARE,sdg15_cpta,,,,
ARE,sdg15_cpfa,,,,
ARE,sdg15_redlist,,yellow,,0.854
ARE,sdg15_forchg,,,,
ARE,sdg15_biofrwter,,red,,4.625
ARE,sdg16_homicides,,green,,0.464
ARE,sdg16_detain,,yellow,,35.8
ARE,sdg16_safe,,green,,
ARE,sdg16_prs,,green,,5.622
ARE,sdg16_u5reg,,green,,100
ARE,sdg16_cpi,,green,,71
ARE,sdg16_clabor,,,,
ARE,sdg16_weaponsexp,,yellow,,1.099
ARE,sdg16_rsf,,orange,,42.69
ARE,sdg16_justice,,yellow,,0.593
ARE,sdg16_prison,,,,
ARE,sdg17_govex,,,,
ARE,sdg17_oda,,yellow,,0.55
ARE,sdg17_govrev,,,,
ARE,sdg17_cohaven,,red,,98.333
ARE,sdg17_secrecy,,,,
ARE,sdg17_sprofits,,,,
ARE,sdg17_statperf,,orange,,59.669
ARG,sdg1_wpc,98.815,green,Up,0.86
ARG,sdg1_320pov,93.165,yellow,Right,3.52
ARG,sdg1_oecdpov,91.017,,,
ARG,sdg2_undernsh,84.263,green,Up,3.8
ARG,sdg2_stunting,90.184,yellow,Up,7.9
ARG,sdg2_wasting,21.053,green,Up,1.6
ARG,sdg2_obesity,15.116,red,Down,28.3
ARG,sdg2_trophic,65.75,red,Right,2.405
ARG,sdg2_crlyld,73.5,green,Up,4.671
ARG,sdg2_snmi,99.462,yellow,Up,0.318
ARG,sdg2_yieldgap,95.608,,Up,
ARG,sdg2_pestexp,87.047,yellow,Up,1.345
ARG,sdg3_matmort,94.745,green,Up,39
ARG,sdg3_neonat,94.831,green,Right,6.1
ARG,sdg3_u5mort,97.636,green,Up,9.3
ARG,sdg3_tb,70.046,yellow,Up,29
ARG,sdg3_hiv,92.679,green,Down,0.13
ARG,sdg3_ncds,64.393,yellow,Right,15.8
ARG,sdg3_pollmort,77.845,yellow,Right,27
ARG,sdg3_traffic,56.189,orange,,14.06
ARG,sdg3_lifee,99.48,yellow,Down,76.575
ARG,sdg3_fertility,76.271,red,Up,62.565
ARG,sdg3_births,61.165,green,Down,99.6
ARG,sdg3_vac,60.465,yellow,,86
ARG,sdg3_uhc,99.128,yellow,,76
