ARM,2.96 Millions (2019),17.91 Percent (2019),20.77 Percent (2019),63.22 Percent (2019),73.99 Years (2015),0.33 Percent (2015),1.72 Children per woman (2015),6.51 Percent (2017),"17,996 (2018)",110 (2018),"11,536.59 Millions of US dollars (2017)","3,936.8 US dollars (2017)",58.9 Percent (2019),16.32 Percent (2017),27.63 Percent (2017),56.06 Percent (2017),"1,140 Millions of US dollars (2017)",18.39 Percent (2019),7.49 Percent (2017),67.55 Millions of US dollars (2018),"-1,130.58 Millions of US dollars (2018)",-686.97 Millions of US dollars (2018),"-2,414.21 Millions of US dollars (2018)","2,381.71 Millions of US dollars (2018)","4,795.92 Millions of US dollars (2018)",87 Petajoules (2016),26.92 Percent (2018),26.22 Percent (2018),29.74 km2 (2017),"2,847 Hectares (2016)",15.68 Percent (2016),2.04 Percent (2016),11.67 Percent (2016)
ABW,0.11 Millions (2019),21.06 Percent (2019),17.62 Percent (2019),43.55 Percent (2019),75.37 Years (2015),0.52 Percent (2015),1.8 Children per woman (2015),34.54 Percent (2017),1 (2018),292 (2018),"2,700.56 Millions of US dollars (2017)","25,655.1 US dollars (2017)",63.8 Percent (2011),0.47 Percent (2017),15.37 Percent (2017),84.15 Percent (2017),"1,733 Millions of US dollars (2017)",10.6 Percent (2010),1.33 Percent (2017),7.61 Millions of US dollars (2016),141.07 Millions of US dollars (2016),133.05 Millions of US dollars (2016),"-1,194.97 Millions of US dollars (2018)",66.85 Millions of US dollars (2018),"1,261.82 Millions of US dollars (2018)",12 Petajoules (2016),45.59 Percent (2018),52.26 Percent (2018),0.18 km2 (2017),18 Hectares (2016),11.11 Percent (2016),,2.33 Percent (2016)
AUS,25.2 Millions (2019),21.44 Percent (2019),19.28 Percent (2019),86.12 Percent (2019),82.36 Years (2015),1.54 Percent (2015),1.89 Children per woman (2015),28.77 Percent (2017),"52,729 (2018)","49,482 (2018)","1,408,675.7 Millions of US dollars (2017)","57,613.23 US dollars (2017)",64.9 Percent (2019),2.71 Percent (2017),24.68 Percent (2017),72.61 Percent (2017),"43,982 Millions of US dollars (2017)",5.54 Percent (2019),2.95 Percent (2017),-383.66 Millions of US dollars (2018),"-30,507.96 Millions of US dollars (2018)","-33,743.36 Millions of US dollars (2018)","21,048.72 Millions of US dollars (2018)","255,726.81 Millions of US dollars (2018)","234,678.09 Millions of US dollars (2018)","-11,026 Petajoules (2016)",29.59 Percent (2018),21.87 Percent (2018),"7,692.06 km2 (2017)","769,202 Hectares (2016)",5.99 Percent (2016),0.04 Percent (2016),16.26 Percent (2016)
AUT,8.96 Millions (2019),25.32 Percent (2019),14.36 Percent (2019),58.52 Percent (2019),80.99 Years (2015),0.63 Percent (2015),1.45 Children per woman (2015),19.01 Percent (2017),"122,462 (2018)","46,077 (2018)","416,835.98 Millions of US dollars (2017)","47,717.73 US dollars (2017)",60.1 Percent (2019),1.35 Percent (2017),28.34 Percent (2017),70.31 Percent (2017),"22,408 Millions of US dollars (2017)",5.4 Percent (2019),2.55 Percent (2017),-354.72 Millions of US dollars (2018),"10,800.67 Millions of US dollars (2018)","9,206.74 Millions of US dollars (2018)","-6,950.64 Millions of US dollars (2018)","181,665.53 Millions of US dollars (2018)","188,616.17 Millions of US dollars (2018)",862 Petajoules (2016),29.71 Percent (2018),36.54 Percent (2018),83.87 km2 (2017),"8,252.3 Hectares (2016)",16.29 Percent (2016),0.81 Percent (2016),46.91 Percent (2016)
AZE,10.05 Millions (2019),11.07 Percent (2019),23.44 Percent (2019),56.03 Percent (2019),71.57 Years (2015),1.27 Percent (2015),2.09 Children per woman (2015),2.64 Percent (2017),"1,114 (2018)",172 (2018),"40,748.86 Millions of US dollars (2017)","4,146.37 US dollars (2017)",66.1 Percent (2019),6.04 Percent (2017),53.16 Percent (2017),40.8 Percent (2017),"3,214 Millions of US dollars (2017)",5.02 Percent (2019),0.11 Percent (2017),1.42 Millions of US dollars (2018),"6,051.08 Millions of US dollars (2018)","6,698.81 Millions of US dollars (2018)","9,236.15 Millions of US dollars (2018)","20,554.54 Millions of US dollars (2018)","11,318.39 Millions of US dollars (2018)","-1,842 Petajoules (2016)",31.94 Percent (2018),16.78 Percent (2018),86.6 km2 (2017),"8,267 Hectares (2016)",24.18 Percent (2016),2.92 Percent (2016),14.1 Percent (2016)
BHS,0.39 Millions (2019),11.73 Percent (2019),22.08 Percent (2019),83.13 Percent (2019),72.47 Years (2015),1.06 Percent (2015),1.81 Children per woman (2015),15.63 Percent (2017),14 (2018),17 (2018),"11,791.51 Millions of US dollars (2017)","29,824.67 US dollars (2017)",74.5 Percent (2019),0.94 Percent (2017),13.13 Percent (2017),85.93 Percent (2017),"2,598 Millions of US dollars (2017)",11.37 Percent (2019),1.8 Percent (2017),,"-1,980.64 Millions of US dollars (2017)","-1,643.38 Millions of US dollars (2017)","-3,261.55 Millions of US dollars (2018)",481.55 Millions of US dollars (2018),"3,743.1 Millions of US dollars (2018)",12 Petajoules (2016),38.18 Percent (2018),33.13 Percent (2018),13.94 km2 (2017),"1,001 Hectares (2016)",0.8 Percent (2016),0.4 Percent (2016),51.45 Percent (2016)
BHR,1.64 Millions (2019),5.11 Percent (2019),18.72 Percent (2019),89.39 Percent (2019),76.41 Years (2015),2.01 Percent (2015),2.12 Children per woman (2015),48.42 Percent (2017),256 (2018),135 (2018),"35,325.91 Millions of US dollars (2017)","23,667.62 US dollars (2017)",73.3 Percent (2019),0.29 Percent (2017),41.84 Percent (2017),57.86 Percent (2017),"3,836 Millions of US dollars (2017)",1.18 Percent (2019),3.76 Percent (2017),603.72 Millions of US dollars (2017),"-1,599.76 Millions of US dollars (2017)",76.51 Millions of US dollars (2017),-526.43 Millions of US dollars (2018),"18,492.83 Millions of US dollars (2018)","19,019.26 Millions of US dollars (2018)",-378 Petajoules (2016),18.13 Percent (2018),21.39 Percent (2018),0.77 km2 (2017),77.8 Hectares (2016),2.06 Percent (2016),3.86 Percent (2016),0.78 Percent (2016)
BGD,163.05 Millions (2019),7.74 Percent (2019),27.21 Percent (2019),37.41 Percent (2019),70.79 Years (2015),1.14 Percent (2015),2.21 Children per woman (2015),0.91 Percent (2017),"943,240 (2018)",135 (2018),"245,633.49 Millions of US dollars (2017)","1,491.67 US dollars (2017)",58.7 Percent (2019),14.17 Percent (2017),29.32 Percent (2017),56.5 Percent (2017),344 Millions of US dollars (2017),4.4 Percent (2019),7.28 Percent (2017),291.31 Millions of US dollars (2018),"-7,592.87 Millions of US dollars (2018)","-8,692.85 Millions of US dollars (2018)","-23,438.27 Millions of US dollars (2018)","32,777.25 Millions of US dollars (2018)","56,215.51 Millions of US dollars (2018)",246 Petajoules (2016),14.91 Percent (2018),30.94 Percent (2018),147.57 km2 (2017),"13,017 Hectares (2016)",59.65 Percent (2016),6.38 Percent (2016),10.96 Percent (2016)
BRB,0.29 Millions (2019),22.54 Percent (2019),17.05 Percent (2019),31.16 Percent (2019),78.6 Years (2015),0.23 Percent (2015),1.63 Children per woman (2015),12.13 Percent (2017),1 (2018),1 (2018),"4,712.7 Millions of US dollars (2017)","16,494.17 US dollars (2017)",65.1 Percent (2019),1.54 Percent (2017),15.45 Percent (2017),83.01 Percent (2017),992 Millions of US dollars (2013),9.41 Percent (2019),0.88 Percent (2017),-7 Millions of US dollars (2013),-248.16 Millions of US dollars (2013),-202.57 Millions of US dollars (2013),"-1,135.86 Millions of US dollars (2018)",457.71 Millions of US dollars (2018),"1,593.57 Millions of US dollars (2018)",15 Petajoules (2016),23.85 Percent (2018),39.57 Percent (2018),0.43 km2 (2017),43 Hectares (2016),16.28 Percent (2016),2.33 Percent (2016),14.65 Percent (2016)
BLR,9.45 Millions (2019),22.18 Percent (2019),17.04 Percent (2019),79.04 Percent (2019),72.45 Years (2015),0.04 Percent (2015),1.65 Children per woman (2015),11.39 Percent (2017),"2,677 (2018)",178 (2018),"54,441.19 Millions of US dollars (2017)","5,749.81 US dollars (2017)",63.3 Percent (2019),8.95 Percent (2017),37 Percent (2017),54.05 Percent (2017),"1,134 Millions of US dollars (2017)",0.47 Percent (2019),2.45 Percent (2017),20.4 Millions of US dollars (2018),-265.6 Millions of US dollars (2018),-75.07 Millions of US dollars (2018),"-4,741.25 Millions of US dollars (2018)","33,460.75 Millions of US dollars (2018)","38,202 Millions of US dollars (2018)",867 Petajoules (2016),38.46 Percent (2018),58.62 Percent (2018),207.6 km2 (2017),"20,298.8 Hectares (2016)",28 Percent (2016),0.55 Percent (2016),42.63 Percent (2016)
BEL,11.54 Millions (2019),25.26 Percent (2019),17.06 Percent (2019),98.04 Percent (2019),80.52 Years (2015),0.63 Percent (2015),1.78 Children per woman (2015),11.1 Percent (2017),"59,208 (2018)","15,275 (2018)","494,763.55 Millions of US dollars (2017)","43,288.91 US dollars (2017)",53.2 Percent (2019),0.74 Percent (2017),21.98 Percent (2017),77.28 Percent (2017),"13,750 Millions of US dollars (2017)",6.45 Percent (2019),1.69 Percent (2017),-85.35 Millions of US dollars (2018),"-6,819.42 Millions of US dollars (2018)","-6,331.85 Millions of US dollars (2018)","17,640.63 Millions of US dollars (2018)","468,528.96 Millions of US dollars (2018)","450,888.33 Millions of US dollars (2018)","1,703 Petajoules (2016)",16.61 Percent (2018),17.2 Percent (2018),30.53 km2 (2017),"3,028 Hectares (2016)",28.05 Percent (2016),0.76 Percent (2016),22.58 Percent (2016)
BLZ,0.39 Millions (2019),7.4 Percent (2019),29.7 Percent (2019),45.87 Percent (2019),73.4 Years (2015),2.25 Percent (2015),2.58 Children per woman (2015),16.01 Percent (2017),28 (2018),"3,414 (2018)","1,902.25 Millions of US dollars (2017)","5,076.99 US dollars (2017)",67.4 Percent (2019),13.95 Percent (2017),16.92 Percent (2017),69.13 Percent (2017),427 Millions of US dollars (2017),9.26 Percent (2019),0.48 Percent (2017),24.01 Millions of US dollars (2018),-154.94 Millions of US dollars (2018),-126.09 Millions of US dollars (2018),-779.8 Millions of US dollars (2018),178.57 Millions of US dollars (2018),958.37 Millions of US dollars (2018),5 Petajoules (2016),27.65 Percent (2018),35.64 Percent (2018),22.97 km2 (2017),"2,281 Hectares (2016)",3.42 Percent (2016),1.4 Percent (2016),59.68 Percent (2016)
BEN,11.8 Millions (2019),5.04 Percent (2019),42.21 Percent (2019),47.86 Percent (2019),59.93 Years (2015),2.79 Percent (2015),5.22 Children per woman (2015),2.27 Percent (2017),"1,149 (2018)",272 (2018),"9,236.44 Millions of US dollars (2017)",826.48 US dollars (2017),71.3 Percent (2019),26.99 Percent (2017),25.72 Percent (2017),47.3 Percent (2017),129 Millions of US dollars (2016),2.33 Percent (2019),5 Percent (2017),195.65 Millions of US dollars (2017),-927.31 Millions of US dollars (2017),-712.37 Millions of US dollars (2017),"-2,845.27 Millions of US dollars (2018)",286.7 Millions of US dollars (2018),"3,131.97 Millions of US dollars (2018)",83 Petajoules (2016),13.91 Percent (2018),19 Percent (2018),114.76 km2 (2017),"11,276 Hectares (2016)",23.94 Percent (2016),4.43 Percent (2016),37.79 Percent (2016)
BMU,0.06 Millions (2019),24.92 Percent (2017),14.76 Percent (2017),100 Percent (2019),79.29 Years (2010),-0.62 Percent (2015),1.5 Children per woman (2016),30.9 Percent (2017),,,"6,269.38 Millions of US dollars (2017)","102,192.11 US dollars (2017)",76.1 Percent (2012),0.72 Percent (2017),5.64 Percent (2017),93.63 Percent (2017),513 Millions of US dollars (2017),6.7 Percent (2013),2.51 Percent (2017),,940.2 Millions of US dollars (2017),823.73 Millions of US dollars (2017),"-1,047.1 Millions of US dollars (2018)",22.91 Millions of US dollars (2018),"1,070.01 Millions of US dollars (2018)",8 Petajoules (2016),62.65 Percent (2018),69.38 Percent (2018),0.05 km2 (2017),5.4 Hectares (2016),5.56 Percent (2016),,18.52 Percent (2016)
BTN,0.76 Millions (2019),8.79 Percent (2019),25.34 Percent (2019),41.61 Percent (2019),69.41 Years (2015),1.2 Percent (2015),2.12 Children per woman (2015),6.48 Percent (2017),,,"2,562.41 Millions of US dollars (2017)","3,172.83 US dollars (2017)",67.1 Percent (2019),17.52 Percent (2017),43.19 Percent (2017),39.29 Percent (2017),105 Millions of US dollars (2017),2.45 Percent (2019),6 Percent (2017),165.51 Millions of US dollars (2018),-497.63 Millions of US dollars (2018),-186.2 Millions of US dollars (2018),-430.15 Millions of US dollars (2018),622.24 Millions of US dollars (2018),"1,052.39 Millions of US dollars (2018)",-13 Petajoules (2016),85.18 Percent (2018),77.07 Percent (2018),38.39 km2 (2017),"3,814.4 Hectares (2016)",2.62 Percent (2016),0.16 Percent (2016),72.48 Percent (2016)
BOL,11.51 Millions (2019),10.19 Percent (2019),30.63 Percent (2019),69.77 Percent (2019),69.26 Years (2015),1.57 Percent (2015),3.05 Children per woman (2015),1.35 Percent (2017),828 (2018),232 (2018),"37,508.64 Millions of US dollars (2017)","3,393.96 US dollars (2017)",67.9 Percent (2019),13.37 Percent (2017),30.42 Percent (2017),56.22 Percent (2017),919 Millions of US dollars (2017),3.23 Percent (2019),4.2 Percent (2017),11.31 Millions of US dollars (2018),"-1,989.6 Millions of US dollars (2018)","-2,943.3 Millions of US dollars (2018)","-1,029.56 Millions of US dollars (2018)","8,964.86 Millions of US dollars (2018)","9,994.41 Millions of US dollars (2018)",-549 Petajoules (2016),19.16 Percent (2018),20.72 Percent (2018),"1,098.58 km2 (2017)","108,330 Hectares (2016)",4.11 Percent (2016),0.21 Percent (2016),50.29 Percent (2016)
BIH,3.3 Millions (2019),24.47 Percent (2019),14.69 Percent (2019),48.63 Percent (2019),76.52 Years (2015),-1.55 Percent (2015),1.31 Children per woman (2015),1.06 Percent (2017),"5,229 (2018)",438 (2018),"18,169.08 Millions of US dollars (2017)","5,180.78 US dollars (2017)",46.7 Percent (2019),6.85 Percent (2017),27.51 Percent (2017),65.64 Percent (2017),894 Millions of US dollars (2017),26.46 Percent (2019),3.03 Percent (2017),187.16 Millions of US dollars (2018),-828.76 Millions of US dollars (2018),-517.46 Millions of US dollars (2018),"-4,405.21 Millions of US dollars (2018)","7,123.8 Millions of US dollars (2018)","11,529.01 Millions of US dollars (2018)",88 Petajoules (2016),14.39 Percent (2018),11.6 Percent (2018),51.21 km2 (2017),"5,120 Hectares (2016)",20.04 Percent (2016),2.03 Percent (2016),42.68 Percent (2016)
BWA,2.3 Millions (2019),6.87 Percent (2019),33.77 Percent (2019),70.17 Percent (2019),64.41 Years (2015),1.3 Percent (2015),3.01 Children per woman (2015),7.26 Percent (2017),"2,081 (2018)",51 (2018),"17,406.53 Millions of US dollars (2017)","7,595.6 US dollars (2017)",72.6 Percent (2019),2.19 Percent (2017),33.27 Percent (2017),64.54 Percent (2017),704.6 Millions of US dollars (2017),17.77 Percent (2019),2.36 Percent (2017),0 Millions of US dollars (2009),345.27 Millions of US dollars (2018),-375.56 Millions of US dollars (2018),-236.44 Millions of US dollars (2018),"5,803.24 Millions of US dollars (2018)","6,039.68 Millions of US dollars (2018)",41 Petajoules (2016),22.83 Percent (2018),64.3 Percent (2018),582 km2 (2017),"56,673 Hectares (2016)",0.46 Percent (2016),0 Percent (2016),18.95 Percent (2016)
BRA,211.05 Millions (2019),13.59 Percent (2019),21.01 Percent (2019),86.82 Percent (2019),74.34 Years (2015),0.88 Percent (2015),1.77 Children per woman (2015),0.35 Percent (2017),"10,850 (2018)","113,152 (2018)","2,055,512.22 Millions of US dollars (2017)","9,821.44 US dollars (2017)",63.8 Percent (2019),5.19 Percent (2017),22.58 Percent (2017),72.24 Percent (2017),"6,175 Millions of US dollars (2017)",11.59 Percent (2019),0.99 Percent (2017),439.6 Millions of US dollars (2018),"-14,509.29 Millions of US dollars (2018)","-7,732.44 Millions of US dollars (2018)","51,108.28 Millions of US dollars (2018)","236,465.57 Millions of US dollars (2018)","185,357.28 Millions of US dollars (2018)",45 Petajoules (2016),21.81 Percent (2018),18.12 Percent (2018),"8,515.77 km2 (2017)","835,814 Hectares (2016)",9.69 Percent (2016),0.79 Percent (2016),58.93 Percent (2016)
BRN,0.43 Millions (2019),8.97 Percent (2019),22.62 Percent (2019),77.94 Percent (2019),75 Years (2015),1.31 Percent (2015),2.02 Children per woman (2015),25.34 Percent (2017),,,"12,128.17 Millions of US dollars (2017)","28,290.77 US dollars (2017)",64.9 Percent (2019),1.07 Percent (2017),58.75 Percent (2017),40.18 Percent (2017),177 Millions of US dollars (2017),6.8 Percent (2019),1.33 Percent (2017),-10.94 Millions of US dollars (2009),"1,067.95 Millions of US dollars (2018)",202.27 Millions of US dollars (2018),"2,966.97 Millions of US dollars (2018)","6,199.67 Millions of US dollars (2018)","3,232.7 Millions of US dollars (2018)",-512 Petajoules (2016),29.27 Percent (2018),20.81 Percent (2018),5.76 km2 (2017),527 Hectares (2016),0.95 Percent (2016),1.14 Percent (2016),72.11 Percent (2016)
BGR,7 Millions (2019),28.01 Percent (2019),14.69 Percent (2019),75.35 Percent (2019),74.25 Years (2015),-0.62 Percent (2015),1.52 Children per woman (2015),2.17 Percent (2017),"19,562 (2018)","1,234 (2018)","58,222.39 Millions of US dollars (2017)","8,218.2 US dollars (2017)",55.2 Percent (2019),4.69 Percent (2017),28.44 Percent (2017),66.87 Percent (2017),"4,678 Millions of US dollars (2017)",4.43 Percent (2019),3.81 Percent (2017),696.36 Millions of US dollars (2018),"2,958.85 Millions of US dollars (2018)","2,374.17 Millions of US dollars (2018)","-4,638.1 Millions of US dollars (2018)","33,332.02 Millions of US dollars (2018)","37,970.12 Millions of US dollars (2018)",285 Petajoules (2016),12.86 Percent (2018),12.23 Percent (2018),111 km2 (2017),"10,856 Hectares (2016)",32.2 Percent (2016),1.3 Percent (2016),35.37 Percent (2016)
BFA,20.32 Millions (2019),3.9 Percent (2019),44.68 Percent (2019),29.98 Percent (2019),58.71 Years (2015),2.98 Percent (2015),5.65 Children per woman (2015),3.69 Percent (2017),"24,798 (2018)",44 (2018),"12,324.81 Millions of US dollars (2017)",642.14 US dollars (2017),66.5 Percent (2019),31.34 Percent (2017),20.23 Percent (2017),48.43 Percent (2017),172 Millions of US dollars (2016),6.16 Percent (2019),6.32 Percent (2017),296.93 Millions of US dollars (2017),-894.07 Millions of US dollars (2017),-593.73 Millions of US dollars (2017),"-2,034.65 Millions of US dollars (2018)","2,527.03 Millions of US dollars (2018)","4,561.68 Millions of US dollars (2018)",42 Petajoules (2016),58.77 Percent (2018),13.96 Percent (2018),272.97 km2 (2017),"27,360 Hectares (2016)",21.93 Percent (2016),0.37 Percent (2016),19.34 Percent (2016)
BDI,11.53 Millions (2019),4 Percent (2019),45.4 Percent (2019),13.37 Percent (2019),58.92 Years (2015),3.16 Percent (2015),5.95 Children per woman (2015),2.76 Percent (2017),"67,963 (2018)","4,646 (2018)","3,155.46 Millions of US dollars (2017)",290.44 US dollars (2017),79 Percent (2019),37.51 Percent (2017),16.63 Percent (2017),45.86 Percent (2017),3 Millions of US dollars (2017),1.49 Percent (2019),0 Percent (2017),78.92 Millions of US dollars (2017),-360.01 Millions of US dollars (2017),-226.08 Millions of US dollars (2017),-657.94 Millions of US dollars (2018),139.83 Millions of US dollars (2018),797.77 Millions of US dollars (2018),7 Petajoules (2016),25.61 Percent (2018),13.99 Percent (2018),27.83 km2 (2017),"2,568 Hectares (2016)",46.73 Percent (2016),13.63 Percent (2016),10.93 Percent (2016)
CPV,0.55 Millions (2019),7.34 Percent (2019),28.41 Percent (2019),66.19 Percent (2019),71.53 Years (2015),1.26 Percent (2015),2.5 Children per woman (2015),2.8 Percent (2017),,,"1,772.85 Millions of US dollars (2017)","3,244.67 US dollars (2017)",69.3 Percent (2019),7.01 Percent (2017),21.13 Percent (2017),71.86 Percent (2017),462 Millions of US dollars (2017),10.36 Percent (2019),4.01 Percent (2017),15.44 Millions of US dollars (2018),-104.48 Millions of US dollars (2018),-132.67 Millions of US dollars (2018),-879.58 Millions of US dollars (2018),50.87 Millions of US dollars (2018),930.45 Millions of US dollars (2018),8 Petajoules (2016),70.79 Percent (2018),42.93 Percent (2018),4.03 km2 (2017),403 Hectares (2016),12.41 Percent (2016),0.99 Percent (2016),22.55 Percent (2016)
