Indicator,Goal,Name
sdg9_womensci,9,Female share of graduates from STEM fields at the tertiary level (%)
sdg10_adjgini,10,Gini coefficient adjusted for top income
sdg10_palma,10,Palma ratio
sdg10_elder,10,Elderly poverty rate (% of population aged 66 or over)
sdg11_slums,11,Proportion of urban population living in slums (%)
sdg11_pm25,11,Annual mean concentration of particulate matter of less than 2.5 microns in diameter (PM2.5) (μg/m³)
sdg11_pipedwat,11,"Access to improved water source, piped (% of urban population)"
sdg11_transport,11,Satisfaction with public transport (%)
sdg11_rentover,11,Population with rent overburden (%)
sdg12_msw,12,Municipal solid waste (kg/capita/day)
sdg12_ewaste,12,Electronic waste (kg/capita)
sdg12_so2prod,12,Production-based SO₂ emissions (kg/capita)
sdg12_so2import,12,SO₂ emissions embodied in imports (kg/capita) 
sdg12_prodnitro,12,Production-based nitrogen emissions (kg/capita)
sdg12_reacnitro,12,Nitrogen emissions embodied in imports (kg/capita)
sdg12_mswrecycl,12,Non-recycled municipal solid waste (kg/capita/day)
sdg13_co2gcp,13,CO₂ emissions from fossil fuel combustion and cement production (tCO2/capita)
sdg13_co2import,13,CO₂ emissions embodied in imports (tCO₂/capita)
sdg13_co2export,13,CO₂ emissions embodied in fossil fuel exports (kg/capita)
sdg13_ecr,13,"Carbon Pricing Score at EUR60/tCO₂ (%, worst 0-100 best)"
sdg14_cpma,14,Mean area that is protected in marine sites important to biodiversity (%) 
sdg14_cleanwat,14,Ocean Health Index: Clean Waters score (worst 0-100 best)
sdg14_fishstocks,14,Fish caught from overexploited or collapsed stocks (% of total catch)
sdg14_trawl,14,Fish caught by trawling or dredging (%)
sdg14_discard,14,Fish caught that are then discarded (%)
sdg14_biomar,14,Marine biodiversity threats embodied in imports (per million population)
sdg15_cpta,15,Mean area that is protected in terrestrial sites important to biodiversity (%)
sdg15_cpfa,15,Mean area that is protected in freshwater sites important to biodiversity (%)
sdg15_redlist,15,Red List Index of species survival (worst 0-1 best) 
sdg15_forchg,15,"Permanent deforestation (% of forest area, 5-year average)"
sdg15_biofrwter,15,Terrestrial and freshwater biodiversity threats embodied in imports (per million population)
sdg16_homicides,16,"Homicides (per 100,000 population)"
sdg16_detain,16,Unsentenced detainees (% of prison population)
sdg16_safe,16,Population who feel safe walking alone at night in the city or area where they live (%)
sdg16_prs,16,Property Rights (worst 1-7 best)
sdg16_u5reg,16,Birth registrations with civil authority (% of children under age 5)
sdg16_cpi,16,Corruption Perception Index (worst 0-100 best)
sdg16_clabor,16,Children involved in child labor (% of population aged 5 to 14)
sdg16_weaponsexp,16,"Exports of major conventional weapons (TIV constant million USD per 100,000 population)"
sdg16_rsf,16,Press Freedom Index (best 0-100 worst)
sdg16_justice,16,Access to and affordability of justice (worst 0–1 best)
sdg16_prison,16,"Persons held in prison (per 100,000 population)"
sdg17_govex,17,Government spending on health and education (% of GDP)
sdg17_oda,17,"For high-income and all OECD DAC countries: International concessional public finance, including official development assistance (% of GNI)"
sdg17_govrev,17,Other countries: Government revenue excluding grants (% of GDP)
sdg17_cohaven,17,Corporate Tax Haven Score (best 0-100 worst)
sdg17_secrecy,17,Financial Secrecy Score (best 0-100 worst)
sdg17_statperf,17,Statistical Performance Index (worst 0-100 best)
